FID,WSO1_ID,FOOTPRINT,FACADE
17440,331883.000000000000000,77849.160000000003000,120776.379606000000000
17441,334697.000000000000000,117281.561202000000000,181952.395171000010000
17442,379276.000000000000000,80091.534927600005000,169299.942982999990000
17443,341991.000000000000000,187970.209999999990000,291619.865618999990000
17444,377086.000000000000000,1973.586700320000100,3396.558446950000000
17445,353449.000000000000000,15119.684999499999000,25214.073828299999000
17446,374825.000000000000000,51259.066346899999000,149943.810017000010000
17447,368341.000000000000000,133125.179474000000000,264824.299294000030000
17448,354383.000000000000000,134175.049999999990000,208161.254951999990000
17449,325754.000000000000000,15141.770000000000000,23491.190814800000000
17450,336659.000000000000000,41572.540000000001000,64496.280730099999000
17451,338439.000000000000000,164891.470000000000000,255815.138156000000000
17452,351653.000000000000000,255904.079999999990000,397013.491092999990000
17453,374033.000000000000000,9612.931011970000300,30626.077806800000000
17454,373774.000000000000000,73828.378396100001000,198119.226417000000000
17455,376758.000000000000000,37914.162884600002000,87917.545428600002000
17456,380600.000000000000000,12446.942348200000000,36190.713341900002000
17457,364835.000000000000000,0.000000000000000,0.000000000000000
17458,368247.000000000000000,0.000000000000000,0.000000000000000
17459,372942.000000000000000,32127.993001999999000,87069.795062200006000
17460,368504.000000000000000,5594.884237989999700,11608.409281200000000
17461,365634.000000000000000,0.000000000000000,0.000000000000000
17462,343299.000000000000000,121061.929999999990000,187817.377462000000000
17463,325188.000000000000000,466129.580000000020000,723160.551462000000000
17464,336090.000000000000000,137619.890000000010000,213505.657924000000000
17465,363306.000000000000000,15172.329622699999000,30537.987226900001000
17466,353001.000000000000000,24480.139999999999000,37978.869055499999000
17467,374204.000000000000000,7404.955334840000400,18232.637301300001000
17468,367182.000000000000000,146953.549665000000000,293271.449173000000000
17469,375729.000000000000000,178.139482917000010,0.000000000000000
17470,365170.000000000000000,12291.516830200000000,38687.805806299999000
17471,331468.000000000000000,270116.140000000010000,419062.322884000020000
17472,324644.000000000000000,515598.570000000010000,799907.541205000020000
17473,355043.000000000000000,601.670000004000030,689.248348257999960
17474,341099.000000000000000,154660.170000000010000,239942.138803000010000
17475,375192.000000000000000,36827.115589200002000,117778.836152000000000
17476,371980.000000000000000,1363.318778330000000,3670.388085310000000
17477,374370.000000000000000,230427.554039999990000,339993.750417999980000
17478,348657.000000000000000,1009994.650000000000000,1566921.185319999900000
17479,372578.000000000000000,12101.847542300000000,27645.884106400001000
17480,365266.000000000000000,5360.926150950000200,9866.976412840000200
17481,379783.000000000000000,4590.770989460000200,9482.230470610000300
17482,332863.000000000000000,1585603.520000000000000,2459929.614110000000000
17483,373146.000000000000000,4765.829744499999800,13704.802866200000000
17484,367130.000000000000000,317652.925676000010000,781162.455078999980000
17485,372327.000000000000000,160.105080149999990,0.000000000000000
17486,365523.000000000000000,0.000000000000000,0.000000000000000
17487,379739.000000000000000,5643.955391020000200,13352.999004900001000
17488,362268.000000000000000,0.000000000000000,0.000000000000000
17489,344723.000000000000000,2990.599999709999800,2710.124917839999900
17490,332872.000000000000000,93352.309999999998000,144828.208982000010000
17491,348829.000000000000000,954570.656395000060000,1463345.842950000000000
17492,345875.000000000000000,74169.979999999996000,115068.452918000000000
17493,349997.000000000000000,9772.299999999999300,15160.892804499999000
17494,361324.000000000000000,1465.200000000000000,2273.133257999999800
17495,364470.000000000000000,51194.650954999997000,125974.178724000000000
17496,372920.000000000000000,19633.056512399999000,61748.013488099998000
17497,363661.000000000000000,0.000000000000000,0.000000000000000
17498,372613.000000000000000,5057.237988460000500,16540.197454400000000
17499,361780.000000000000000,0.000000000000000,0.000000000000000
17500,355205.000000000000000,992.235000163999980,1916.101393969999900
17501,353009.000000000000000,16454.090000299999000,23752.598178100001000
17502,340873.000000000000000,57277.959999999999000,88861.896995300005000
17503,349742.000000000000000,985676.989999999990000,1529194.392449999900000
17504,369775.000000000000000,3427.487223460000200,11134.574427000000000
17505,377500.000000000000000,1208.279170889999900,3638.754205849999800
17506,367805.000000000000000,821.148432465000040,2323.926541450000100
17507,327188.000000000000000,251919.329999999990000,390831.487069999970000
17508,330460.000000000000000,24264.980000000000000,37645.105016200003000
17509,376813.000000000000000,852.394521959000030,1985.133254570000000
17510,367279.000000000000000,746.212825202999970,1688.364624350000000
17511,335958.000000000000000,64269.599999999999000,99708.850976600006000
17512,325639.000000000000000,830599.459999999960000,1288604.753550000000000
17513,352902.000000000000000,24056.200000000001000,37321.156443799999000
17514,342489.000000000000000,525709.539999000030000,877533.571667999960000
17515,342632.000000000000000,486756.950000000010000,755162.243372999950000
17516,359542.000000000000000,269693.915108999990000,402127.818649000020000
17517,356073.000000000000000,42187.865000199999000,88974.824570700002000
17518,334968.000000000000000,359498.870000000000000,557732.070838000040000
17519,363253.000000000000000,70885.036278500003000,150948.957705999990000
17520,372408.000000000000000,47210.906613599996000,124471.306507999990000
17521,334624.000000000000000,392437.010000000010000,608832.777983000040000
17522,364273.000000000000000,181253.389384999990000,280398.835903000030000
17523,359175.000000000000000,108025.530000000000000,167592.469664000000000
17524,340630.000000000000000,214467.320000000010000,332727.949327000010000
17525,342726.000000000000000,61522.889999999999000,95447.563221100005000
17526,354477.000000000000000,71331.215000400000000,105934.749857000000000
17527,350938.000000000000000,83381.384999200003000,105012.544162000010000
17528,378948.000000000000000,23846.360931600000000,58795.265852299999000
17529,366767.000000000000000,0.000000000000000,0.000000000000000
17530,377770.000000000000000,34405.927108600001000,121930.340519000000000
17531,326881.000000000000000,149475.920000000010000,231899.308181000000000
17532,369613.000000000000000,2007.392106680000100,5511.304935989999600
17533,365910.000000000000000,0.000000000000000,0.000000000000000
17534,376322.000000000000000,56027.350741700000000,157548.293981000000000
17535,364073.000000000000000,0.000000000000000,0.000000000000000
17536,371258.000000000000000,135285.444523999990000,223884.938314000000000
17537,375932.000000000000000,38051.034129599997000,95400.018052800006000
17538,360111.000000000000000,67916.382921400000000,133435.342192999990000
17539,357243.000000000000000,173250.084999999990000,259295.160766999990000
17540,358229.000000000000000,252792.079999999990000,392185.515160000010000
17541,329733.000000000000000,1089901.010000000000000,1690889.047210000000000
17542,353982.000000000000000,27157.119999899998000,56966.471342099998000
17543,373532.000000000000000,30430.232331499999000,104883.272700999990000
17544,334714.000000000000000,114858.850000000010000,178193.791005000010000
17545,351172.000000000000000,27271.769405100000000,68803.371257100007000
17546,370875.000000000000000,145931.973090999990000,386606.412417999990000
17547,347916.000000000000000,420808.919999999980000,652849.417918000020000
17548,371804.000000000000000,2414.078906809999800,5366.917117279999700
17549,339757.000000000000000,316689.070000000010000,491316.227049999990000
17550,378010.000000000000000,3934.353491509999900,10492.375724300000000
17551,372270.000000000000000,1020.035970790000000,1794.161104390000000
17552,326966.000000000000000,247407.450000000010000,383831.762066000020000
17553,329433.000000000000000,371681.710000000020000,576632.701103999980000
17554,376412.000000000000000,2535.543850090000000,7945.226091939999600
17555,374693.000000000000000,16632.597336499999000,35204.813328500000000
17556,330926.000000000000000,217407.700000000010000,337289.653209000010000
17557,367517.000000000000000,95013.215078599998000,246237.709420000000000
17558,377585.000000000000000,99.820472873599996,213.411991187000010
17559,367016.000000000000000,0.000000000000000,0.000000000000000
17560,332270.000000000000000,291746.359999999990000,452619.802908000010000
17561,352048.000000000000000,51672.830000000002000,80166.025640299995000
17562,326449.000000000000000,33283.360000000001000,51636.340879900003000
17563,372115.000000000000000,88266.160178200007000,206574.085422000000000
17564,368307.000000000000000,9689.322719640000300,29235.155007500001000
17565,371107.000000000000000,7039.172325370000200,18943.337219800000000
17566,360578.000000000000000,42744.623160800002000,88786.054001400000000
17567,371635.000000000000000,11027.810602100000000,21552.589887499998000
17568,364351.000000000000000,0.000000000000000,0.000000000000000
17569,379274.000000000000000,4944.061325009999600,9263.428973680000100
17570,325508.000000000000000,207750.090000000000000,322306.683851999990000
17571,376762.000000000000000,1750.145628830000100,4926.105032720000100
17572,371830.000000000000000,3687.610304740000200,9424.675585709999700
17573,367533.000000000000000,54032.932436000003000,102113.311223000000000
17574,353321.000000000000000,186485.559998999990000,295328.393854000020000
17575,370176.000000000000000,114631.262293000010000,299433.445282000000000
